borough,building_addr,building_class,closest_fire_station,closest_police_station,commerical_units,lot_size,neighborhood,residential_units,school_district,year_built,zipcode
Queens,11660 144th St,Two Family Converted from One Family (B3),0.38 Miles  ,1.09 Miles  ,,"3,500",Jamaica,,27,1920,11436
Queens,11657 143rd St,Two Family Converted from One Family (B3),0.38 Miles  ,1.11 Miles  ,,"4,000",Jamaica,,27,1957,11436
Queens,11653 143rd St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.39 Miles  ,1.11 Miles  ,,"4,000",Jamaica,,27,1945,11436
Queens,11649 143rd St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.40 Miles  ,1.11 Miles  ,,"4,000",Jamaica,,27,1945,11436
Queens,11645 143rd St,Two Family Converted from One Family (B3),0.40 Miles  ,1.11 Miles  ,,"4,000",Jamaica,,27,1957,11436
Queens,11641 143rd St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.41 Miles  ,1.12 Miles  ,,"4,000",Jamaica,,27,1945,11436
Queens,11637 143rd St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.42 Miles  ,1.12 Miles  ,,"4,000",Jamaica,,27,1945,11436
Queens,11633 143rd St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.43 Miles  ,1.12 Miles  ,,"4,000",Jamaica,,27,1945,11436
Queens,11629 143rd St,Two Family Converted from One Family (B3),0.44 Miles  ,1.12 Miles  ,,"4,200",Jamaica,,27,1950,11436
Queens,11623 143rd St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,1.12 Miles  ,,"6,400",Jamaica,,27,1945,11436
Queens,11619 143rd St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,1.13 Miles  ,,"4,200",Jamaica,,27,1945,11436
Queens,11615 143rd St,Two Family Converted from One Family (B3),0.46 Miles  ,1.13 Miles  ,,"4,200",Jamaica,,27,1956,11436
Queens,11611 143rd St,Two Family Converted from One Family (B3),0.47 Miles  ,1.14 Miles  ,,"4,200",Jamaica,,27,1957,11436
Queens,14402 116th Ave,Two Family Converted from One Family (B3),0.48 Miles  ,1.10 Miles  ,,"4,000",Jamaica,,27,1950,11436
Queens,11643 Inwood St,Two Family Frame (B2),0.42 Miles  ,0.98 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,14406 116th Ave,Two Family Frame (B2),0.48 Miles  ,1.10 Miles  ,,"4,000",Jamaica,,27,1959,11436
Queens,14410 116th Ave,Two Family Converted from One Family (B3),0.48 Miles  ,1.09 Miles  ,,"4,000",Jamaica,,27,1935,11436
Queens,14412 116th Ave,Two Family Brick (B1),0.48 Miles  ,1.08 Miles  ,,"4,000",Jamaica,,27,2017,11436
Queens,14418 116th Ave,Two Family Frame (B2),0.48 Miles  ,1.08 Miles  ,,"4,000",Jamaica,,27,1955,11436
Queens,11610 145th St,Two Family Frame (B2),0.47 Miles  ,1.07 Miles  ,,"4,000",Jamaica,,27,1955,11436
Queens,11614 145th St,Two Family Frame (B2),0.46 Miles  ,1.07 Miles  ,,"4,000",Jamaica,,27,1955,11436
Queens,11639 Inwood St,Two Family Frame (B2),0.43 Miles  ,0.98 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,11618 145th St,Two Family Converted from One Family (B3),0.46 Miles  ,1.07 Miles  ,,"4,000",Jamaica,,27,1955,11436
Queens,11620 145th St,One Story - Permanent Living Quarter (A2),0.45 Miles  ,1.06 Miles  ,,"4,000",Jamaica,,27,1950,11436
Queens,11624 145th St,Two Family Frame (B2),0.44 Miles  ,1.06 Miles  ,,"4,000",Jamaica,,27,1955,11436
Queens,11634-11636 145th St,Two Family Frame (B2),0.43 Miles  ,1.06 Miles  ,,"4,000",Jamaica,,27,1999,11436
Queens,11629 144th St,One Story - Permanent Living Quarter (A2),0.44 Miles  ,1.08 Miles  ,,"5,000",Jamaica,,27,1955,11436
Queens,11625 144th St,Two Family Frame (B2),0.44 Miles  ,1.08 Miles  ,,"3,200",Jamaica,,27,1955,11436
Queens,11635 Inwood St,Two Family Frame (B2),0.44 Miles  ,0.98 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,11621 144th St,Two Family Frame (B2),0.45 Miles  ,1.08 Miles  ,,"4,000",Jamaica,,27,1965,11436
Queens,11631-11635 144th St,Two Family Converted from One Family (B3),0.43 Miles  ,1.07 Miles  ,,"2,267",Jamaica,,27,1935,11436
Queens,11617 144th St,Two Family Frame (B2),0.46 Miles  ,1.09 Miles  ,,"2,800",Jamaica,,27,1955,11436
Queens,11615 144th St,Two Family Frame (B2),0.46 Miles  ,1.09 Miles  ,,"2,800",Jamaica,,27,1955,11436
Queens,11611 144th St,Two Family Frame (B2),0.47 Miles  ,1.09 Miles  ,,"4,000",Jamaica,,27,1961,11436
Queens,14519 Foch Blvd,Two Family Converted from One Family (B3),0.40 Miles  ,0.99 Miles  ,,"2,500",Jamaica,,27,1925,11436
Queens,14517 Foch Blvd,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.39 Miles  ,1.00 Miles  ,,"2,500",Jamaica,,27,1925,11436
