borough,building_addr,building_class,closest_fire_station,closest_police_station,commerical_units,lot_size,neighborhood,residential_units,school_district,year_built,zipcode
Queens,14513 Foch Blvd,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.39 Miles  ,1.00 Miles  ,,"2,500",Jamaica,,27,1925,11436
Queens,14511 Foch Blvd,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.39 Miles  ,1.01 Miles  ,,"2,500",Jamaica,,27,1925,11436
Queens,11657 145th St,Two Family Converted from One Family (B3),0.39 Miles  ,1.01 Miles  ,,"3,600",Jamaica,,27,1925,11436
Queens,11653 145th St,Two Family Converted from One Family (B3),0.39 Miles  ,1.01 Miles  ,,"3,600",Jamaica,,27,1925,11436
Queens,11649 145th St,Two Family Brick (B1),0.40 Miles  ,1.02 Miles  ,,"3,600",Jamaica,,27,1920,11436
Queens,11645 145th St,One Story - Permanent Living Quarter (A2),0.41 Miles  ,1.02 Miles  ,,"3,600",Jamaica,,27,1920,11436
Queens,11631 Inwood St,Two Family Frame (B2),0.45 Miles  ,0.99 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,11643 145th St,One Story - Permanent Living Quarter (A2),0.41 Miles  ,1.02 Miles  ,,"3,490",Jamaica,,27,1950,11436
Queens,11633 145th St,Two Family Frame (B2),0.43 Miles  ,1.03 Miles  ,,"4,000",Jamaica,,27,1966,11436
Queens,11629 145th St,Two Family Frame (B2),0.44 Miles  ,1.03 Miles  ,,"4,000",Jamaica,,27,1966,11436
Queens,11627 145th St,Two Family Frame (B2),0.45 Miles  ,1.03 Miles  ,,"4,000",Jamaica,,27,1966,11436
Queens,11621 145th St,One Family Attached or Semi-Detached (A5),0.45 Miles  ,1.04 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11619 145th St,One Family Attached or Semi-Detached (A5),0.46 Miles  ,1.04 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11617 145th St,One Family Attached or Semi-Detached (A5),0.46 Miles  ,1.04 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11615 145th St,One Family Attached or Semi-Detached (A5),0.47 Miles  ,1.04 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11611 145th St,One Family Attached or Semi-Detached (A5),0.47 Miles  ,1.05 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11609 145th St,One Family Attached or Semi-Detached (A5),0.48 Miles  ,1.05 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11607 145th St,One Family Attached or Semi-Detached (A5),0.48 Miles  ,1.05 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11605 145th St,One Family Attached or Semi-Detached (A5),0.49 Miles  ,1.05 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11601 145th St,Two Family Frame (B2),0.49 Miles  ,1.05 Miles  ,,"4,000",Jamaica,,27,1955,11436
Queens,11604 Inwood St,One Family Attached or Semi-Detached (A5),0.50 Miles  ,1.04 Miles  ,,"2,600",Jamaica,,27,1950,11436
Queens,11627 Inwood St,Two Family Frame (B2),0.45 Miles  ,0.99 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,11606 Inwood St,One Family Attached or Semi-Detached (A5),0.49 Miles  ,1.04 Miles  ,,"2,400",Jamaica,,27,1950,11436
Queens,11608 Inwood St,One Family Attached or Semi-Detached (A5),0.49 Miles  ,1.03 Miles  ,,"2,400",Jamaica,,27,1950,11436
Queens,11610 Inwood St,One Family Attached or Semi-Detached (A5),0.48 Miles  ,1.03 Miles  ,,"2,400",Jamaica,,27,1950,11436
Queens,11612 Inwood St,Two Family Frame (B2),0.48 Miles  ,1.03 Miles  ,,"2,142",Jamaica,,27,1940,11436
Queens,11614 Inwood St,Two Family Frame (B2),0.48 Miles  ,1.03 Miles  ,,"1,842",Jamaica,,27,1940,11436
Queens,11618 Inwood St,One Family Attached or Semi-Detached (A5),0.47 Miles  ,1.03 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11622 Inwood St,One Family Attached or Semi-Detached (A5),0.46 Miles  ,1.02 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11626 Inwood St,One Family Attached or Semi-Detached (A5),0.45 Miles  ,1.02 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11630 Inwood St,One Family Attached or Semi-Detached (A5),0.45 Miles  ,1.02 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11632 Inwood St,One Family Attached or Semi-Detached (A5),0.44 Miles  ,1.01 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11634 Inwood St,One Family Attached or Semi-Detached (A5),0.44 Miles  ,1.01 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11636 Inwood St,Two Family Frame (B2),0.43 Miles  ,1.01 Miles  ,,"4,000",Jamaica,,27,1965,11436
Queens,11623-11627 Inwood St,Two Family Frame (B2),0.46 Miles  ,0.99 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,11640 Inwood St,Two Family Frame (B2),0.42 Miles  ,1.01 Miles  ,,"4,000",Jamaica,,27,1965,11436
Queens,11644 Inwood St,Two Family Frame (B2),0.42 Miles  ,1.00 Miles  ,,"4,000",Jamaica,,27,1965,11436
Queens,11648 Inwood St,Two Family Frame (B2),0.41 Miles  ,1.00 Miles  ,,"4,000",Jamaica,,27,1966,11436
Queens,11620 Inwood St,One Family Attached or Semi-Detached (A5),0.47 Miles  ,1.02 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11624 Inwood St,One Family Attached or Semi-Detached (A5),0.46 Miles  ,1.02 Miles  ,,"2,500",Jamaica,,27,1955,11436
Queens,11605 Inwood St,Two Family Converted from One Family (B3),0.49 Miles  ,1.01 Miles  ,,"4,000",Jamaica,,27,1945,11436
Queens,14532 116th Ave,Two Family Converted from One Family (B3),0.49 Miles  ,1.01 Miles  ,,"4,000",Jamaica,,27,1945,11436
Queens,14536 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.49 Miles  ,1.00 Miles  ,,"4,000",Jamaica,,27,1930,11436
Queens,14540 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.50 Miles  ,1.00 Miles  ,,"2,000",Jamaica,,27,1925,11436
Queens,14542 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.50 Miles  ,0.99 Miles  ,,"2,000",Jamaica,,27,1925,11436
Queens,14544 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.50 Miles  ,0.99 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,14546 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.50 Miles  ,0.99 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11612 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.49 Miles  ,0.99 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11614 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.49 Miles  ,0.98 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11616 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.48 Miles  ,0.98 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11619 Inwood St,Two Family Frame (B2),0.47 Miles  ,0.99 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,11620 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.48 Miles  ,0.98 Miles  ,,"4,000",Jamaica,,27,1920,11436
Queens,11624 146th St,Two Family Converted from One Family (B3),0.47 Miles  ,0.98 Miles  ,,"4,000",Jamaica,,27,1920,11436
Queens,11626 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.47 Miles  ,0.97 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11630 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.46 Miles  ,0.97 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11632 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,0.97 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11634 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,0.97 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11636 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,0.97 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11615 Inwood St,Two Family Frame (B2),0.47 Miles  ,1.00 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,11638 146th St,Two Family Converted from One Family (B3),0.44 Miles  ,0.96 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11640 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,0.96 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11642 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,0.96 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11644 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.43 Miles  ,0.96 Miles  ,,"2,000",Jamaica,,27,1920,11436
Queens,11646 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.43 Miles  ,0.96 Miles  ,,"2,300",Jamaica,,27,1920,11436
Queens,11650 146th St,Two Family Frame (B2),0.42 Miles  ,0.96 Miles  ,,"3,363",Jamaica,,27,1945,11436
Queens,11652 146th St,Two Family Frame (B2),0.42 Miles  ,0.95 Miles  ,,"3,370",Jamaica,,27,1945,11436
Queens,14545 Foch Blvd,Two Family Frame (B2),0.40 Miles  ,0.95 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,14541 Foch Blvd,Two Family Frame (B2),0.40 Miles  ,0.95 Miles  ,,"3,800",Jamaica,,27,1945,11436
Queens,14537 Foch Blvd,Two Family Frame (B2),0.40 Miles  ,0.96 Miles  ,,"3,807",Jamaica,,27,1960,11436
Queens,14533 Foch Blvd,Two Family Frame (B2),0.40 Miles  ,0.97 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,14529 Foch Blvd,Two Family Frame (B2),0.40 Miles  ,0.98 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,11647 Inwood St,Two Family Frame (B2),0.42 Miles  ,0.98 Miles  ,,"3,977",Jamaica,,27,1960,11436
Queens,11611 Inwood St,Two Family Frame (B2),0.48 Miles  ,1.00 Miles  ,,"4,000",Jamaica,,27,1960,11436
Queens,14602 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.50 Miles  ,0.97 Miles  ,,"1,800",Jamaica,,27,1930,11436
Queens,14604 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.51 Miles  ,0.97 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,14606 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.51 Miles  ,0.97 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,14608 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.51 Miles  ,0.96 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,14610 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.51 Miles  ,0.96 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,14612 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.51 Miles  ,0.96 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,14614 116th Ave,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.51 Miles  ,0.95 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,14620 116th Ave,Two Family Converted from One Family (B3),0.52 Miles  ,0.94 Miles  ,,"3,400",Jamaica,,27,1930,11436
Queens,11612 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.51 Miles  ,0.94 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11614 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.50 Miles  ,0.94 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11616 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.50 Miles  ,0.94 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11618 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.50 Miles  ,0.94 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11620 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.49 Miles  ,0.93 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11622 147th St,Two Family Converted from One Family (B3),0.49 Miles  ,0.93 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11626 147th St,Two Family Converted from One Family (B3),0.48 Miles  ,0.93 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11628 147th St,Two Family Converted from One Family (B3),0.48 Miles  ,0.93 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11630 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.48 Miles  ,0.93 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11632 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.47 Miles  ,0.92 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11634 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.47 Miles  ,0.92 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11636 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.46 Miles  ,0.92 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11638 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.46 Miles  ,0.92 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11642 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,0.92 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11644 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,0.91 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11646 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,0.91 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11648 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,0.91 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11650 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,0.91 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11652 147th St,Two Family Frame (B2),0.43 Miles  ,0.91 Miles  ,,"4,200",Jamaica,,27,2010,11436
Queens,14619 Foch Blvd,Two Family Converted from One Family (B3),0.42 Miles  ,0.90 Miles  ,,"4,000",Jamaica,,27,1930,11436
Queens,14615 Foch Blvd,One Story - Permanent Living Quarter (A2),0.42 Miles  ,0.91 Miles  ,,"4,000",Jamaica,,27,1930,11436
Queens,14611 Foch Blvd,One Story - Permanent Living Quarter (A2),0.42 Miles  ,0.91 Miles  ,,"4,000",Jamaica,,27,1930,11436
Queens,14607 Foch Blvd,One Story - Permanent Living Quarter (A2),0.41 Miles  ,0.92 Miles  ,,"4,000",Jamaica,,27,1930,11436
Queens,14603 Foch Blvd,Two Family Converted from One Family (B3),0.41 Miles  ,0.93 Miles  ,,"4,000",Jamaica,,27,1930,11436
Queens,11651 146th St,Two Family Converted from One Family (B3),0.43 Miles  ,0.92 Miles  ,,"2,767",Jamaica,,27,1930,11436
Queens,11649 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.43 Miles  ,0.93 Miles  ,,"2,500",Jamaica,,27,1930,11436
Queens,11647 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,0.93 Miles  ,,"2,300",Jamaica,,27,1930,11436
Queens,11645 146th St,Two Family Converted from One Family (B3),0.44 Miles  ,0.93 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11643 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,0.93 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11641 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,0.93 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11639 146th St,Two Family Converted from One Family (B3),0.45 Miles  ,0.93 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11637 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.46 Miles  ,0.94 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11635 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.46 Miles  ,0.94 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11631 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.47 Miles  ,0.94 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11629 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.47 Miles  ,0.94 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11627 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.47 Miles  ,0.94 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11625 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.48 Miles  ,0.95 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11623 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.48 Miles  ,0.95 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11621 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.48 Miles  ,0.95 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11619 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.49 Miles  ,0.95 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11617 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.49 Miles  ,0.95 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11615 146th St,Two Family Converted from One Family (B3),0.49 Miles  ,0.95 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11613 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.50 Miles  ,0.96 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11611 146th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.50 Miles  ,0.96 Miles  ,,"2,000",Jamaica,,27,1930,11436
Queens,11656 148th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,0.86 Miles  ,,"2,342",Jamaica,,27,1920,11436
Queens,11658 148th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,0.86 Miles  ,,"2,342",Jamaica,,27,1920,11436
Queens,14719 Foch Blvd,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,0.85 Miles  ,,"1,768",Jamaica,,27,1920,11436
Queens,14717 Foch Blvd,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,0.85 Miles  ,,"1,815",Jamaica,,27,1920,11436
Queens,14715 Foch Blvd,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,0.86 Miles  ,,"3,920",Jamaica,,27,1925,11436
Queens,14711 Foch Blvd,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.43 Miles  ,0.86 Miles  ,,"1,960",Jamaica,,27,1920,11436
Queens,14707 Foch Blvd,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.43 Miles  ,0.87 Miles  ,,"2,053",Jamaica,,27,1920,11436
Queens,14705 Foch Blvd,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.43 Miles  ,0.88 Miles  ,,"2,150",Jamaica,,27,1920,11436
Queens,14701 Foch Blvd,Two Family Converted from One Family (B3),0.43 Miles  ,0.88 Miles  ,,"4,300",Jamaica,,27,1950,11436
Queens,11655 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.44 Miles  ,0.88 Miles  ,,"2,175",Jamaica,,27,1935,11436
Queens,11653 147th St,Two Family Converted from One Family (B3),0.45 Miles  ,0.88 Miles  ,,"2,300",Jamaica,,27,1935,11436
Queens,11651 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.45 Miles  ,0.88 Miles  ,,"2,300",Jamaica,,27,1935,11436
Queens,11649 147th St,Two Family Converted from One Family (B3),0.46 Miles  ,0.88 Miles  ,,"2,300",Jamaica,,27,1935,11436
Queens,11645 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.46 Miles  ,0.89 Miles  ,,"2,300",Jamaica,,27,1935,11436
Queens,11643 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.46 Miles  ,0.89 Miles  ,,"2,300",Jamaica,,27,1935,11436
Queens,11641 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.47 Miles  ,0.89 Miles  ,,"2,300",Jamaica,,27,1935,11436
Queens,11639 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.47 Miles  ,0.89 Miles  ,,"2,300",Jamaica,,27,1935,11436
Queens,11637 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.48 Miles  ,0.89 Miles  ,,"2,300",Jamaica,,27,1935,11436
Queens,11635 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.48 Miles  ,0.89 Miles  ,,"2,300",Jamaica,,27,1935,11436
Queens,11633 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.48 Miles  ,0.90 Miles  ,,"2,300",Jamaica,,27,1935,11436
Queens,11629 147th St,"Two Stories Detached (Small or Moderate Size, With or Without Attic) (A1)",0.49 Miles  ,0.90 Miles  ,,"2,300",Jamaica,,27,1935,11436
